game_id,count
26,100
29,100
964,100
65,85
541,100
1010,100
222,100
270,100
938,100
243,100
278,100
19,100
54,100
926,95
965,100
277,100
287,100
348,100
415,100
502,100
112,100
113,100
167,100
299,100
385,100
237,100
241,100
22,94
130,100
7,100
34,100
184,100
858,88
463,100
274,100
844,98
262,97
50,100
94,100
149,92
421,100
876,100
190,100
275,100
439,92
136,100
513,100
936,98
144,100
32,100
43,100
420,100
1073,100
84,100
31,100
376,100
958,100
119,98
395,92
768,100
326,100
595,90
894,100
39,100
98,100
187,100
561,100
201,100
116,100
25,100
880,100
948,100
124,100
181,100
363,100
686,100
95,100
227,100
455,100
912,100
143,100
642,100
790,96
161,100
365,100
443,88
6,100
1012,100
72,100
87,100
255,100
1098,100
107,100
316,100
744,100
158,100
397,100
959,100
51,89
56,100
178,100
353,100
610,100
279,100
574,100
52,100
146,100
174,100
825,100
17,100
79,100
170,100
661,100
1060,92
103,100
236,100
989,100
276,100
226,93
41,100
499,100
33,100
248,100
405,100
519,96
207,100
511,100
671,100
235,100
304,100
462,100
114,99
434,98
599,100
678,100
5,100
1083,100
1,100
319,100
1040,100
153,100
250,100
377,100
743,100
328,100
849,100
375,100
104,100
368,100
834,100
944,100
252,100
593,88
423,100
485,100
748,100
521,100
870,100
871,100
128,100
497,100
838,100
911,100
85,100
111,100
332,100
575,100
301,100
177,100
659,100
67,100
168,100
749,100
927,100
100,100
105,100
294,100
654,100
44,100
392,100
611,100
804,100
552,100
1011,100
225,100
249,100
688,100
795,100
303,100
379,100
940,100
567,100
454,100
921,100
636,100
160,100
283,100
3,100
435,100
206,100
478,100
618,89
37,100
101,100
431,100
776,100
12,100
355,100
1056,100
322,100
390,100
8,100
62,100
334,98
1062,100
331,100
747,100
792,98
11,100
49,100
290,100
437,100
803,100
639,100
166,100
260,100
801,100
774,100
477,93
2,100
269,100
66,100
154,100
1031,100
1063,100
520,100
869,100
428,100
433,100
164,100
605,100
821,100
875,100
176,100
732,89
914,100
4,100
308,100
842,100
899,100
1095,100
272,100
687,100
765,100
305,100
36,100
302,100
1053,100
314,100
408,100
1072,100
18,100
140,100
298,100
410,98
289,100
670,100
69,100
913,100
14,100
860,100
594,100
216,100
598,96
137,100
505,100
626,100
21,86
238,100
547,100
809,100
877,100
881,100
129,100
393,100
868,100
985,100
15,100
81,100
165,92
195,100
436,100
350,100
523,100
97,100
723,100
30,100
42,100
582,100
895,100
90,100
256,100
851,100
338,100
445,100
771,100
23,100
291,100
783,100
121,100
46,90
494,100
987,100
1008,92
20,100
848,100
300,100
99,100
444,100
510,100
617,100
109,100
483,100
660,100
832,100
60,100
189,100
545,100
534,100
569,100
40,100
259,100
787,87
522,100
527,100
571,100
725,100
1032,86
263,100
1003,100
281,100
152,100
267,100
317,100
416,100
261,93
484,100
531,100
758,100
1033,100
24,100
340,100
456,100
458,100
469,100
